country1_code;country2_code;incident_year;country1_snt_incidents;contry2_rvd_incidents;country1_to_country2_incidents;incidents_0;positive_goldstein_mentions_0;negative_goldstein_mentions_0;golds_mean_0;golds_std_0;incidents_1;positive_goldstein_mentions_1;negative_goldstein_mentions_1;golds_mean_1;golds_std_1;incidents_2;positive_goldstein_mentions_2;negative_goldstein_mentions_2;golds_mean_2;golds_std_2;incidents_3;positive_goldstein_mentions_3;negative_goldstein_mentions_3;golds_mean_3;golds_std_3;incidents_4;positive_goldstein_mentions_4;negative_goldstein_mentions_4;golds_mean_4;golds_std_4;incidents_5;positive_goldstein_mentions_5;negative_goldstein_mentions_5;golds_mean_5;golds_std_5
IRN;AUS;2020;171;256;17;3;0,7114928909952607;0,28850710900473936;0,9528436018957345;4,0700738804843875;5;0,4885095206828628;0,5114904793171372;-0,6521996060407091;4,612691969312019;4;0,7097457627118644;0,2902542372881356;0,6663135593220338;4,243043755190396;0;0,6691176470588235;0,33088235294117646;0,37806372549019607;3,983254984362521;1;0,8004788507581804;0,19952114924181963;1,398244213791533;4,229789854874752;1;0,780440414507772;0,21955958549222798;1,0027849740932642;4,57261348217743
RUS;AUS;2020;557;256;72;19;0,7576754385964912;0,24232456140350878;1,363486842105263;4,051880399488205;18;0,7516469038208169;0,24835309617918314;0,7712779973649538;4,462067302471135;11;0,7047015319598521;0,2952984680401479;0,5194400422609615;4,268803814238956;12;0,760343087790111;0,239656912209889;0,9144298688193743;4,106248303383177;3;0,7467889908256881;0,25321100917431194;0,6311926603463082;5,020180021213064;1;0,717741935483871;0,28225806451612906;0,8888337468982631;4,5676714213102825
AUS;ISR;2020;6;175;1;1;0,6927260367097213;0,30727396329027873;0,6999999999999998;4,382463043192608;0;0,6035545883206384;0,39644541167936165;-0,9585418933623503;5,280499481024588;0;0,6752595775152166;0,3247404224847834;0,8330469029717149;4,179296994644375;0;0,7671355881472613;0,2328644118527387;1,116492068243041;4,11071272168555;0;0,7595276435856146;0,2404723564143854;1,2261943099323422;4,354712633893728;0;0,7166560306317805;0,28334396936821954;0,9544990427416452;4,09837125661572
USA;JOR;2020;36;34;2;1;0,6749231950844854;0,3250768049155146;0,11756912442396313;4,9830215269300755;1;0,6945052273279845;0,3054947726720156;0,33521760272307316;4,840112545741583;0;0,7103995181690423;0,28960048183095766;0,36090142541658304;5,074765258783963;0;0,7142713365539453;0,28572866344605474;0,46797504025764886;5,091323506326806;0;0,6949226888913258;0,3050773111086742;0,23572760183653788;5,106141948382757;0;0,6755216383307573;0,32447836166924265;0,19776854713604292;5,22337362237815
RUS;GBR;2020;557;208;62;20;0,6401559454191034;0,3598440545808967;0,5871994801819364;4,4764477752682525;12;0,6769598225710143;0,3230401774289858;1,0349910432483151;4,379245899618669;10;0,4932;0,5068;-0,19038;4,487100250228425;7;0,6849275362318841;0,31507246376811593;1,1497318840579709;4,358951135373923;2;0,6465445145594161;0,3534554854405839;0,6932182771569737;4,7034423762753566;2;0,7574566329714214;0,24254336702857857;1,83288406339698;4,49158905914299
AUS;CHN;2020;6;329;1;1;0,61436;0,38564;0,6219;4,282471715026265;0;0,6656379375235227;0,3343620624764772;1,128980052691005;4,185134927399054;0;0,6990664056617979;0,3009335943382021;1,4398358680921548;4,063895935717763;0;0,7593077370564282;0,24069226294357185;1,8568571844095405;3,9588498640435557;0;0,747178599152087;0,25282140084791305;1,675028363574033;4,171734504730984;0;0,796059889676911;0,20394011032308904;2,3921434200157603;4,005910199285797
USA;JPN;2020;36;510;10;5;0,7448824423909229;0,25511755760907706;1,05261434085858;4,840530573665114;2;0,79656;0,20344;1,484908;4,565137175544236;2;0,78304;0,21696;1,368972;4,577564686950475;0;0,774;0,226;1,20736;4,648342180864055;0;0,78128;0,21872;1,3836480000927447;4,5818305308481815;0;0,76096;0,23904;1,1842319999933242;4,805153417962442
RUS;BEL;2020;557;55;17;4;0,6465968586387435;0,35340314136125656;0,518848167539267;4,461418168746721;2;0,6777893639207507;0,3222106360792492;0,3320125130344107;5,042630280087745;3;0,8745019920318725;0,1254980079681275;2,159827357237716;3,122052347410068;1;0,7772277227722773;0,22277227722772278;1,2859971711456861;3,909818159041045;1;0,7532934131736527;0,2467065868263473;1,0807185628528366;4,263067907951619;0;0,743351886209029;0,2566481137909709;1,3120593692022267;4,373331988223753
IRN;GBR;2020;171;208;17;5;0,6289911851126346;0,3710088148873653;0,5703819784524976;4,86750245685718;4;0,5354247973581507;0,4645752026418493;0,12945061543080155;4,761130550958896;3;0,7055957478222353;0,29440425217776467;1,5706629263251144;4,66614574319915;0;0,6901363780526483;0,30986362194735173;1,1420710434506818;4,456444756254952;0;0,6982905982905983;0,3017094017094017;1,0487863247170408;4,3575041153922465;3;0,8592501536570375;0,1407498463429625;2,7747019053472646;3,593958832882603
USA;JPN;2020;36;510;10;5;0,7448824423909229;0,25511755760907706;1,05261434085858;4,840530573665114;2;0,79656;0,20344;1,484908;4,565137175544236;2;0,78304;0,21696;1,368972;4,577564686950475;0;0,774;0,226;1,20736;4,648342180864055;0;0,78128;0,21872;1,3836480000927447;4,5818305308481815;0;0,76096;0,23904;1,1842319999933242;4,805153417962442
