Source_country_cameo_code;Source_lat;Source_long;Targer_country_cameo_code;Target_lat;Target_long;Number_incidents
;;;;;;
"
CHN";35;105;CHN;35;105;0
;;;;;;
"
CHN";35;105;IRN;32;53;3
;;;;;;
"
CHN";35;105;SAU;25;45;18
;;;;;;
"
CHN";35;105;JPN;36;138;135
;;;;;;
"
CHN";35;105;RUS;60;100;9
;;;;;;
"
CHN";35;105;MLI;17;-4;47
;;;;;;
"
CHN";35;105;USA;38;-97;88
;;;;;;
"
CHN";35;105;PRK;37;127.5;6
;;;;;;
"
CHN";35;105;AUS;-27;133;42
;;;;;;
"
CHN";35;105;BGD;24;90;6
;;;;;;
"
CHN";35;105;FRA;46;2;46
;;;;;;
"
CHN";35;105;IND;20;77;60
;;;;;;
"
CHN";35;105;MEX;23;-102;8
;;;;;;
"
CHN";35;105;NER;16;8;9
;;;;;;
"
CHN";35;105;NGA;10;8;9
;;;;;;
"
CHN";35;105;NOR;62;10;14
;;;;;;
"
CHN";35;105;PER;-10;-76;8
;;;;;;
"
CHN";35;105;POL;52;20;15
;;;;;;
"
CHN";35;105;URY;-33;-56;4
;;;;;;
"
CHN";35;105;ESP;40;-4;16
;;;;;;
"
CHN";35;105;SGP;1.3667;103.8;29
;;;;;;
"
CHN";35;105;ABW;12.5;-69.9667;6
;;;;;;
"
CHN";35;105;ROM;46;25;6
;;;;;;
"
CHN";35;105;AFG;33;65;10
;;;;;;
"
CHN";35;105;DEU;51;9;50
;;;;;;
"
CHN";35;105;IRQ;33;44;10
;;;;;;
"
CHN";35;105;ISR;31.5;34.75;13
;;;;;;
"
CHN";35;105;UKR;49;32;8
;;;;;;
"
CHN";35;105;THA;15;100;24
;;;;;;
"
CHN";35;105;HKG;22.25;114.1667;69
;;;;;;
"
CHN";35;105;IDN;-5;120;34
;;;;;;
"
CHN";35;105;LKA;7;81;5
;;;;;;
"
CHN";35;105;PAK;30;70;9
;;;;;;
"
CHN";35;105;BRA;-10;-55;13
;;;;;;
"
CHN";35;105;CAN;60;-95;20
;;;;;;
"
CHN";35;105;GEO;42;43.5;7
;;;;;;
"
CHN";35;105;MYS;2.5;112.5;26
;;;;;;
