country1_code,latitude_1,longitude_1,country2_code,latitude_2,longitude_2,incident_year,incidents_in_year,prediction,prediction_error
IRN,32.0000,53.0000,AUS,-27.0000,133.0000,2020,3,6.028378872707165,3.028378872707165
RUS,60.0000,100.0000,AUS,-27.0000,133.0000,2020,19,20.76888336407981,1.7688833640798087
AUS,-27.0000,133.0000,ISR,31.5000,34.7500,2020,1,2.7473744387685275,1.7473744387685275
USA,38.0000,-97.0000,JOR,31.0000,36.0000,2020,1,3.362136154374654,2.362136154374654
RUS,60.0000,100.0000,GBR,54.0000,-2.0000,2020,20,15.4047889764384,4.5952110235616
AUS,-27.0000,133.0000,CHN,35.0000,105.0000,2020,1,2.393403805842587,1.393403805842587
USA,38.0000,-97.0000,JPN,36.0000,138.0000,2020,5,3.944180036725734,1.0558199632742662
RUS,60.0000,100.0000,BEL,50.8333,4.0000,2020,4,3.97658646633581,0.023413533664189856
IRN,32.0000,53.0000,GBR,54.0000,-2.0000,2020,5,4.393898943238192,0.6061010567618084
USA,38.0000,-97.0000,JPN,36.0000,138.0000,2020,5,3.944180036725734,1.0558199632742662
IRN,32.0000,53.0000,ISR,31.5000,34.7500,2020,5,7.029852601024136,2.0298526010241362
RUS,60.0000,100.0000,CAN,60.0000,-95.0000,2020,5,8.542875514259308,3.5428755142593076
USA,38.0000,-97.0000,SAU,25.0000,45.0000,2020,1,3.8291417840566107,2.8291417840566107
IRN,32.0000,53.0000,GBR,54.0000,-2.0000,2020,5,4.393898943238192,0.6061010567618084
PRK,37.0000,127.5000,POL,52.0000,20.0000,2020,1,2.5014838577520546,1.5014838577520546
RUS,60.0000,100.0000,FIN,64.0000,26.0000,2020,4,4.216308961770778,0.2163089617707783
IRN,32.0000,53.0000,MLI,17.0000,-4.0000,2020,2,2.336704411199463,0.33670441119946304
IRN,32.0000,53.0000,SGP,1.3667,103.8000,2020,1,1.7688522197826737,0.7688522197826737
RUS,60.0000,100.0000,FRA,46.0000,2.0000,2020,17,16.186167971702112,0.8138320282978881
PRK,37.0000,127.5000,USA,38.0000,-97.0000,2020,10,10.112853308481768,0.11285330848176756
RUS,60.0000,100.0000,GBR,54.0000,-2.0000,2020,20,15.4047889764384,4.5952110235616
RUS,60.0000,100.0000,IDN,-5.0000,120.0000,2020,3,4.364077516088922,1.3640775160889218
RUS,60.0000,100.0000,IND,20.0000,77.0000,2020,18,11.534351212277528,6.465648787722472
IRN,32.0000,53.0000,JPN,36.0000,138.0000,2019,9,16.339962887444802,7.339962887444802
RUS,60.0000,100.0000,IRL,53.0000,-8.0000,2020,3,4.925121960293966,1.925121960293966
RUS,60.0000,100.0000,JPN,36.0000,138.0000,2020,25,25.01082280006755,0.010822800067550986
RUS,60.0000,100.0000,MYS,2.5000,112.5000,2020,3,6.11343151557556,3.1134315155755603
RUS,60.0000,100.0000,NOR,62.0000,10.0000,2020,3,5.918295874255583,2.918295874255583
RUS,60.0000,100.0000,NZL,-41.0000,174.0000,2020,4,6.904337098631615,2.904337098631615
RUS,60.0000,100.0000,OMN,21.0000,57.0000,2020,3,2.5535479475005984,0.44645205249940156
RUS,60.0000,100.0000,PHL,13.0000,122.0000,2020,4,4.279077355380554,0.27907735538055434
RUS,60.0000,100.0000,POL,52.0000,20.0000,2020,4,5.7152156652324155,1.7152156652324155
RUS,60.0000,100.0000,SGP,1.3667,103.8000,2020,6,10.461579374932398,4.461579374932398
RUS,60.0000,100.0000,SWE,62.0000,15.0000,2020,3,6.5053186966455465,3.5053186966455465
RUS,60.0000,100.0000,THA,15.0000,100.0000,2020,3,4.313471235554392,1.3134712355543918
RUS,60.0000,100.0000,TUR,39.0000,35.0000,2020,4,4.767017322136808,0.767017322136808
RUS,60.0000,100.0000,ZAF,-29.0000,24.0000,2020,4,5.772299737486642,1.7722997374866418
RUS,60.0000,100.0000,JPN,36.0000,138.0000,2019,23,30.30540420268056,7.30540420268056
IND,20.0000,77.0000,BGD,24.0000,90.0000,2020,2,2.6579931352703436,0.6579931352703436
IND,20.0000,77.0000,JPN,36.0000,138.0000,2020,2,1.355913864938878,0.644086135061122
IND,20.0000,77.0000,MDV,3.2500,73.0000,2020,2,2.23624648461975,0.23624648461975006
IND,20.0000,77.0000,PAK,30.0000,70.0000,2020,2,2.8446657100502253,0.8446657100502253
IRN,32.0000,53.0000,AUS,-27.0000,133.0000,2019,5,6.670659752066021,1.6706597520660207
RUS,60.0000,100.0000,ESP,40.0000,-4.0000,2018,15,9.204624566143247,5.795375433856753
IRN,32.0000,53.0000,AFG,33.0000,65.0000,2018,4,1.291787999246277,2.708212000753723
IRN,32.0000,53.0000,BRA,-10.0000,-55.0000,2018,2,0.7852628106799218,1.2147371893200782
IRN,32.0000,53.0000,DEU,51.0000,9.0000,2019,2,1.2056275540273864,0.7943724459726136
IRN,32.0000,53.0000,ESP,40.0000,-4.0000,2019,2,1.7157162451138097,0.2842837548861903
RUS,60.0000,100.0000,SGP,1.3667,103.8000,2017,3,5.310769358951909,2.3107693589519087
KHM,13.0000,105.0000,AUS,-27.0000,133.0000,2017,1,2.062945015831282,1.062945015831282
IRN,32.0000,53.0000,ARE,24.0000,54.0000,2017,6,3.239938614612065,2.760061385387935
RUS,60.0000,100.0000,CUB,21.5000,-80.0000,2017,4,2.315203781106405,1.6847962188935952
PRK,37.0000,127.5000,ISR,31.5000,34.7500,2018,3,2.5849541411309707,0.41504585886902934
RUS,60.0000,100.0000,BRA,-10.0000,-55.0000,2016,6,1.8246606474137472,4.175339352586253
IRN,32.0000,53.0000,FRA,46.0000,2.0000,2019,2,1.7888742215025433,0.21112577849745673
IRN,32.0000,53.0000,GRC,39.0000,22.0000,2020,2,1.3605363277046463,0.6394636722953537
IRN,32.0000,53.0000,OMN,21.0000,57.0000,2020,2,1.7620202376166096,0.23797976238339036
KHM,13.0000,105.0000,CHN,35.0000,105.0000,2017,2,1.8612040440981108,0.1387959559018892
CHN,35.0000,105.0000,AUS,-27.0000,133.0000,2018,5,9.158162618724726,4.158162618724726
CHN,35.0000,105.0000,AUS,-27.0000,133.0000,2019,5,4.8123424574623535,0.18765754253764655
PRK,37.0000,127.5000,CHN,35.0000,105.0000,2018,3,3.790353270398998,0.7903532703989979
RUS,60.0000,100.0000,AFG,33.0000,65.0000,2016,5,1.9398435370422416,3.0601564629577584
IRN,32.0000,53.0000,JOR,31.0000,36.0000,2018,5,3.130435619802408,1.869564380197592
IRN,32.0000,53.0000,GBR,54.0000,-2.0000,2019,4,4.901132316733977,0.9011323167339773
IRN,32.0000,53.0000,ITA,42.8333,12.8333,2019,2,1.4403222735295484,0.5596777264704516
CHN,35.0000,105.0000,MLI,17.0000,-4.0000,2014,3,5.880572106202695,2.8805721062026954
CHN,35.0000,105.0000,IDN,-5.0000,120.0000,2018,7,4.581158771534001,2.4188412284659986
CHN,35.0000,105.0000,AUS,-27.0000,133.0000,2017,7,8.430491262605587,1.430491262605587
PRK,37.0000,127.5000,USA,38.0000,-97.0000,2017,9,7.358739560042749,1.641260439957251
CHN,35.0000,105.0000,AUS,-27.0000,133.0000,2020,13,8.690948276965324,4.309051723034676
CHN,35.0000,105.0000,CAN,60.0000,-95.0000,2020,5,5.575337147328838,0.5753371473288382
CHN,35.0000,105.0000,CHE,47.0000,8.0000,2020,4,5.501123154332832,1.5011231543328316
CHN,35.0000,105.0000,DNK,56.0000,10.0000,2020,5,2.5026333897351214,2.4973666102648786
CHN,35.0000,105.0000,FIN,64.0000,26.0000,2020,7,2.5414531492380545,4.4585468507619455
CHN,35.0000,105.0000,FRA,46.0000,2.0000,2020,10,9.113484677057635,0.8865153229423655
CHN,35.0000,105.0000,IND,20.0000,77.0000,2020,10,8.108875692470868,1.8911243075291324
CHN,35.0000,105.0000,ITA,42.8333,12.8333,2020,8,7.782069401991485,0.21793059800851466
CHN,35.0000,105.0000,JPN,36.0000,138.0000,2020,15,18.8479164676482,3.8479164676482007
CHN,35.0000,105.0000,MEX,23.0000,-102.0000,2020,3,2.4995331699398213,0.5004668300601787
CHN,35.0000,105.0000,MYS,2.5000,112.5000,2020,7,3.85969627717443,3.14030372282557
CHN,35.0000,105.0000,PHL,13.0000,122.0000,2020,7,4.77642789808028,2.2235721019197197
CHN,35.0000,105.0000,POL,52.0000,20.0000,2020,8,4.01813135356325,3.98186864643675
CHN,35.0000,105.0000,QAT,25.5000,51.2500,2020,3,2.2243824130414307,0.7756175869585693
CHN,35.0000,105.0000,SAU,25.0000,45.0000,2020,4,5.209174120564532,1.2091741205645317
CHN,35.0000,105.0000,SGP,1.3667,103.8000,2020,5,1.2528871433411446,3.7471128566588554
CHN,35.0000,105.0000,SWE,62.0000,15.0000,2020,5,4.286633582349951,0.7133664176500494
KHM,13.0000,105.0000,JPN,36.0000,138.0000,2017,3,1.4013046224324537,1.5986953775675463
IRN,32.0000,53.0000,IND,20.0000,77.0000,2017,5,3.1427109211090674,1.8572890788909326
PRK,37.0000,127.5000,CHN,35.0000,105.0000,2017,3,5.28153192778114,2.28153192778114
CHN,35.0000,105.0000,CAN,60.0000,-95.0000,2019,2,4.079365780810221,2.079365780810221
CHN,35.0000,105.0000,USA,38.0000,-97.0000,2018,18,12.783414212823532,5.216585787176468
CHN,35.0000,105.0000,NOR,62.0000,10.0000,2019,3,4.505202388325131,1.5052023883251309
CHN,35.0000,105.0000,JPN,36.0000,138.0000,2020,15,18.8479164676482,3.8479164676482007
CHN,35.0000,105.0000,POL,52.0000,20.0000,2020,8,4.01813135356325,3.98186864643675
KHM,13.0000,105.0000,AFG,33.0000,65.0000,2020,1,1.7180211166375257,0.7180211166375257
KHM,13.0000,105.0000,CHN,35.0000,105.0000,2020,2,2.0657089220409297,0.06570892204092971
KHM,13.0000,105.0000,JPN,36.0000,138.0000,2020,2,1.348972730192151,0.651027269807849
RUS,60.0000,100.0000,CAN,60.0000,-95.0000,2016,6,3.6083785832600634,2.3916214167399366
RUS,60.0000,100.0000,CHN,35.0000,105.0000,2017,10,13.349783041441171,3.349783041441171
PRK,37.0000,127.5000,USA,38.0000,-97.0000,2020,10,10.112853308481768,0.11285330848176756
PRK,37.0000,127.5000,USA,38.0000,-97.0000,2018,10,10.772596897922183,0.7725968979221829
PRK,37.0000,127.5000,CHN,35.0000,105.0000,2019,3,4.68429925888992,1.6842992588899204
PRK,37.0000,127.5000,GBR,54.0000,-2.0000,2019,5,2.4064716586416823,2.5935283413583177
IRN,32.0000,53.0000,PAK,30.0000,70.0000,2018,6,4.148373772120825,1.8516262278791746
IRN,32.0000,53.0000,BHR,26.0000,50.5500,2018,3,1.9946814649240192,1.0053185350759808
COL,4.0000,-72.0000,BRA,-10.0000,-55.0000,2019,1,1.9260683296480652,0.9260683296480652
JPN,36.0000,138.0000,CHN,35.0000,105.0000,2013,1,1.161923216827205,0.1619232168272049
CHN,35.0000,105.0000,USA,38.0000,-97.0000,2011,4,6.891977308843708,2.8919773088437077
